disease,drug,num_trials,primary_pos_trials,safety_flag_trials,conclusion,nct_ids,normalized_drug,is_gold_indication,is_gold_contraindication
Epileptic encephalopathy,ZX008 (Fenfluramine Hydrochloride),5,1,1,可能适应症且需注意安全,NCT02682927|NCT02823145|NCT02926898|NCT03299842|NCT03936777,zx008,1,0
Gastrointestinal epithelial barrier disorders,pentoxifylline,1,0,0,证据不足,NCT01542268,pentoxifylline,0,0
Gastrointestinal epithelial barrier disorders,pentoxifylline placebo,1,0,0,证据不足,NCT01542268,pentoxifylline placebo,0,0
Gastrointestinal epithelial barrier disorders,Teduglutide,1,1,1,可能适应症且需注意安全,NCT02431325,teduglutide,1,0
Generalised pustular psoriasis,Adalimumab,1,0,0,证据不足,NCT02533375,adalimumab,0,0
Generalised pustular psoriasis,"After exclusion of relevant contraindications, participants received subcutaneous ustekinumab/secukinumab therapy.",1,0,0,证据不足,NCT06391996,after exclusion of relevant contraindications + participants received subcutaneous ustekinumab + secukinumab therapy.,0,0
Generalised pustular psoriasis,Brodalumab 210mg SC,1,0,0,证据不足,NCT04183881,brodalumab sc,0,0
Generalised pustular psoriasis,Certolizumab Pegol,1,1,1,可能适应症且需注意安全,NCT03051217,certolizumab pegol,1,0
Generalised pustular psoriasis,Deucravacitinib,1,0,0,证据不足,NCT06952465,deucravacitinib,0,0
Generalised pustular psoriasis,Guselkumab,1,0,0,证据不足,NCT02343744,guselkumab,0,0
Generalised pustular psoriasis,HB0034,3,0,0,证据不足,NCT05512598|NCT06231381|NCT06477536,hb0034,0,0
Generalised pustular psoriasis,Imsidolimab high dose,1,0,0,证据不足,NCT05352893,imsidolimab high dose,0,0
Generalised pustular psoriasis,Imsidolimab low dose,1,0,0,证据不足,NCT05352893,imsidolimab low dose,0,0
Generalised pustular psoriasis,Infliximab [infliximab biosimilar 3],1,0,0,证据不足,NCT03885089,infliximab [infliximab biosimilar 3],0,0
Generalised pustular psoriasis,Ixekizumab,1,0,0,证据不足,NCT03942042,ixekizumab,0,0
Generalised pustular psoriasis,JNJ-77242113,1,0,0,证据不足,NCT06295692,jnj-77242113,0,0
Generalised pustular psoriasis,KHK4827,1,0,0,证据不足,NCT01782937,khk4827,0,0
Generalised pustular psoriasis,KHK4827 140mg SC,1,0,0,证据不足,NCT02052609,khk4827 sc,0,0
Generalised pustular psoriasis,KHK4827 210mg SC,1,0,0,证据不足,NCT02052609,khk4827 sc,0,0
Generalised pustular psoriasis,risankizumab,1,0,0,证据不足,NCT03022045,risankizumab,0,0
Generalised pustular psoriasis,Spesolimab,6,2,1,可能适应症且需注意安全,NCT02978690|NCT03782792|NCT03886246|NCT04399837|NCT05670821|NCT06013969,spesolimab,1,0
Generalised pustular psoriasis,spesolimab,2,0,0,证据不足,NCT05200247|NCT05239039,spesolimab,1,0
Generalised pustular psoriasis,Spevigo®,1,0,0,证据不足,NCT06886009,spevigo®,0,0
Generalised pustular psoriasis,TAK-279,1,0,0,证据不足,NCT06323356,tak-279,0,0
Generalised pustular psoriasis,TQH2929 Injection,1,0,0,证据不足,NCT06433531,tqh2929 injection,0,0
Juvenile dermatomyositis,3 MPDN pulse + PDN,1,0,0,证据不足,NCT00323960,3 mpdn pulse + pdn,0,0
Juvenile dermatomyositis,3 MPDN pulse + PDN + CSA,1,0,0,证据不足,NCT00323960,3 mpdn pulse + csa + pdn,0,0
Juvenile dermatomyositis,3 MPDN pulse + PDN + MTX,1,0,0,证据不足,NCT00323960,3 mpdn pulse + mtx + pdn,0,0
Juvenile dermatomyositis,Abatacept,1,0,0,证据不足,NCT02594735,abatacept,0,0
Juvenile dermatomyositis,Abatacept subcutaneous,1,0,0,证据不足,NCT02971683,abatacept subcutaneous,0,0
Juvenile dermatomyositis,Adalimumab,1,0,0,证据不足,NCT07138898,adalimumab,0,0
Juvenile dermatomyositis,Alendronate,1,0,0,证据不足,NCT00277251,alendronate,0,0
Juvenile dermatomyositis,Anti-CD19 UCAR-T cells,1,0,0,证据不足,NCT06686524,anti-cd19 ucar-t cells,0,0
Juvenile dermatomyositis,Azathioprine,1,0,0,证据不足,NCT07138898,azathioprine,0,0
Juvenile dermatomyositis,Baricitinib,2,0,0,证据不足,NCT01724580|NCT05524311,baricitinib,0,0
Juvenile dermatomyositis,Certolizumab,1,0,0,证据不足,NCT07138898,certolizumab,0,0
Juvenile dermatomyositis,Continue IS (MMF or MPA),1,0,1,禁忌信号,NCT05000216,continue is,0,1
Juvenile dermatomyositis,Continue IS (MTX),1,0,1,禁忌信号,NCT05000216,continue is,0,1
Juvenile dermatomyositis,Cyclosporine,1,0,0,证据不足,NCT07138898,cyclosporine,0,0
Juvenile dermatomyositis,denosumab,1,0,0,证据不足,NCT02418273,denosumab,0,0
Juvenile dermatomyositis,Descartes-08,1,0,0,证据不足,NCT07089121,descartes-08,0,0
Juvenile dermatomyositis,Deucravacitinb,1,0,0,证据不足,NCT07012057,deucravacitinb,0,0
Juvenile dermatomyositis,Etanercept,2,0,0,证据不足,NCT00035958|NCT07138898,etanercept,0,0
Juvenile dermatomyositis,Golimumab,1,0,0,证据不足,NCT07138898,golimumab,0,0
Juvenile dermatomyositis,H.P. Acthar Gel,1,1,0,适应症线索,NCT02245841,h.p. acthar gel,1,0
Juvenile dermatomyositis,Hydroxychloroquine,1,0,0,证据不足,NCT07138898,hydroxychloroquine,0,0
Juvenile dermatomyositis,Infliximab,1,0,0,证据不足,NCT07138898,infliximab,0,0
Juvenile dermatomyositis,Leflunomide,1,0,0,证据不足,NCT07138898,leflunomide,0,0
Juvenile dermatomyositis,Methotrexate,2,0,0,证据不足,NCT00035958|NCT07138898,methotrexate,0,0
Juvenile dermatomyositis,Methylprednisolone,1,0,0,证据不足,NCT00004357,methylprednisolone,0,0
Juvenile dermatomyositis,Mycophenolate,1,0,0,证据不足,NCT07138898,mycophenolate,0,0
Juvenile dermatomyositis,Prednisolone,1,0,0,证据不足,NCT00004357,prednisolone,0,0
Juvenile dermatomyositis,Prednisone,1,0,0,证据不足,NCT00035958,prednisone,0,0
Juvenile dermatomyositis,Rituximab,1,0,0,证据不足,NCT00106184,rituximab,0,0
Juvenile dermatomyositis,Sodium Thiosulfate,1,0,0,证据不足,NCT03267277,sodium thiosulfate,0,0
Juvenile dermatomyositis,Sodium thiosulfate,1,0,0,证据不足,NCT01572844,sodium thiosulfate,0,0
Juvenile dermatomyositis,Sulfasalazine,1,0,0,证据不足,NCT07138898,sulfasalazine,0,0
Juvenile dermatomyositis,Tacrolimus,1,0,0,证据不足,NCT07138898,tacrolimus,0,0
Juvenile dermatomyositis,Tofacitinib,1,0,0,证据不足,NCT07138898,tofacitinib,0,0
Juvenile dermatomyositis,Upadacitinib,1,0,0,证据不足,NCT07138898,upadacitinib,0,0
Juvenile dermatomyositis,Withhold IS (B cell depletion therapy),1,0,0,证据不足,NCT05000216,withhold is,0,1
Juvenile dermatomyositis,Withhold IS (MMF or MPA),1,0,1,禁忌信号,NCT05000216,withhold is,0,1
Juvenile dermatomyositis,Withhold IS (MTX),1,0,1,禁忌信号,NCT05000216,withhold is,0,1
Lactic acidosis,Abacavir,1,0,0,证据不足,NCT00143702,abacavir,0,0
Lactic acidosis,Albuterol,1,0,0,证据不足,NCT02073747,albuterol,0,0
Lactic acidosis,"cofactor supplementation (thiamine, riboflavin, L-carnitine)",1,0,0,证据不足,NCT00202228,cofactor supplementation (thiamine + l-carnitine) + riboflavin,0,0
Lactic acidosis,Control,1,0,0,证据不足,NCT01973504,control,0,0
Lactic acidosis,Cysteamine Bitartrate,1,0,0,证据不足,NCT02473445,cysteamine,0,0
Lactic acidosis,d4T,1,0,0,证据不足,NCT00143702,d4t,0,0
Lactic acidosis,Dichloroacetate,4,0,0,证据不足,NCT00015015|NCT00031161|NCT00068913|NCT01797276,dichloroacetate,1,0
Lactic acidosis,Dichloroacetate (DCA),1,1,0,适应症线索,NCT00874276,dichloroacetate,1,0
Lactic acidosis,Efavirenz,1,0,0,证据不足,NCT00023218,efavirenz,0,0
Lactic acidosis,"entecavir, lamivudine",1,0,0,证据不足,NCT01354652,entecavir + lamivudine,0,0
Lactic acidosis,Fenoldopam mesilate,1,0,0,证据不足,NCT00747331,fenoldopam mesilate,0,0
Lactic acidosis,Glycerol Tributyrate,1,0,0,证据不足,NCT06792500,glycerol tributyrate,0,0
Lactic acidosis,Haloperidol or olanzapine,1,0,0,证据不足,NCT01139463,haloperidol or olanzapine,0,0
Lactic acidosis,Idebenone,1,0,0,证据不足,NCT00887562,idebenone,0,0
Lactic acidosis,Insulin,1,0,0,证据不足,NCT00124826,insulin,0,0
Lactic acidosis,IW-6463 Tablets,1,0,0,证据不足,NCT04475549,iw-6463 tablets,0,0
Lactic acidosis,Lopinavir/Ritonavir,1,0,0,证据不足,NCT00023218,lopinavir + ritonavir,0,0
Lactic acidosis,Magnesium Sulfate,1,0,0,证据不足,NCT03466528,magnesium,0,0
Lactic acidosis,Metformin,4,0,0,证据不足,NCT01873859|NCT02848508|NCT04762966|NCT04766008,metformin,0,0
Lactic acidosis,MP4OX,3,0,0,证据不足,NCT01004198|NCT01262196|NCT01973504,mp4ox,0,0
Lactic acidosis,Nitisinone (NTBC),1,0,0,证据不足,NCT00031161,nitisinone,0,0
Lactic acidosis,Nitroglycerin infusion,1,1,0,适应症线索,NCT01901419,nitroglycerin infusion,1,0
Lactic acidosis,Normal Saline,1,0,0,证据不足,NCT02073747,normal saline,0,0
Lactic acidosis,OMT-28,1,0,0,证据不足,NCT05972954,omt-28,0,0
Lactic acidosis,Oral administration of 100 mg KH176 twice daily,1,0,0,证据不足,NCT04604548,oral administration of kh176 twice daily,0,0
Lactic acidosis,Pabrinex,1,0,0,证据不足,NCT03466528,pabrinex,0,0
Lactic acidosis,Placebos,1,0,0,证据不足,NCT03122678,placebos,0,0
Lactic acidosis,Riboflavin and Thiamine (Supplementation),1,0,0,证据不足,NCT00143702,riboflavin + thiamine,0,0
Lactic acidosis,Ringers Lactate solution,1,0,0,证据不足,NCT01004198,ringers lactate solution,0,0
Lactic acidosis,Saline,1,0,0,证据不足,NCT01262196,saline,0,0
Lactic acidosis,sodium dichloroacetate,2,0,0,证据不足,NCT00004490|NCT00004493,sodium dichloroacetate,0,0
Lactic acidosis,Sonlicromanol,1,0,0,证据不足,NCT06451757,sonlicromanol,0,0
Lactic acidosis,Thiamine,2,0,0,证据不足,NCT02974257|NCT03122678,thiamine,0,0
Lactic acidosis,TTI-0102,1,0,0,证据不足,NCT06644534,tti-0102,0,0
Lactic acidosis,Vitamin B1-ratiopharm,1,0,0,证据不足,NCT01524315,vitamin b1-ratiopharm,0,0
Lactic acidosis,zagociguat 15mg,2,0,0,证据不足,NCT06402123|NCT06961344,zagociguat,0,0
Lactic acidosis,zagociguat 30mg,1,0,0,证据不足,NCT06402123,zagociguat,0,0
Neonatal cholestasis,3 mg [14C]-A4250 capsule,1,0,0,证据不足,NCT03082937,[14c]-a4250 capsule,0,0
Neonatal cholestasis,4-Phenylbutyrate,1,0,0,证据不足,NCT04531878,4-phenylbutyrate,0,0
Neonatal cholestasis,A4250,1,0,0,证据不足,NCT02963077,a4250,0,0
Neonatal cholestasis,Cholic Acids,1,0,0,证据不足,NCT00007020,cholic acids,0,0
Neonatal cholestasis,Clinolipid,2,0,0,证据不足,NCT02476994|NCT04555044,clinolipid,0,0
Neonatal cholestasis,CRC (A3384),1,0,0,证据不足,NCT02963077,crc,0,0
Neonatal cholestasis,Intralipid,3,0,0,证据不足,NCT01373918|NCT02476994|NCT04555044,intralipid,0,0
Neonatal cholestasis,"Intralipid, 20% Intravenous Emulsion",1,0,0,证据不足,NCT03387579,20% intravenous emulsion + intralipid,0,0
Neonatal cholestasis,Livmarli,1,0,0,证据不足,NCT06193928,livmarli,0,0
Neonatal cholestasis,LUM001,2,0,1,禁忌信号,NCT01903460|NCT02057692,lum001,1,1
Neonatal cholestasis,LUM001 (Maralixibat),3,1,0,适应症线索,NCT02047318|NCT02117713|NCT02160782,lum001,1,1
Neonatal cholestasis,magnesium gluconate,1,0,0,证据不足,NCT00007033,magnesium gluconate,0,0
Neonatal cholestasis,magnesium sulfate,1,0,0,证据不足,NCT00007033,magnesium,0,0
Neonatal cholestasis,Maralixibat,1,0,0,证据不足,NCT04729751,maralixibat,0,0
Neonatal cholestasis,maralixibat,1,0,0,证据不足,NCT04530994,maralixibat,0,0
Neonatal cholestasis,Meropenem Injection,1,0,0,证据不足,NCT04370145,meropenem injection,0,0
Neonatal cholestasis,N-Acetylcysteine,1,0,0,证据不足,NCT06260566,n-acetylcysteine,0,0
Neonatal cholestasis,Odevixibat,2,1,1,可能适应症且需注意安全,NCT04674761|NCT05035030,odevixibat,1,0
Neonatal cholestasis,Omegaven,2,0,0,证据不足,NCT02370251|NCT03072667,omegaven,0,0
Neonatal cholestasis,Questran,1,0,0,证据不足,NCT02963077,questran,0,0
Neonatal cholestasis,sincalide,1,0,0,证据不足,NCT00004414,sincalide,0,0
Neonatal cholestasis,SMOFlipid,1,0,0,证据不足,NCT02721277,smoflipid,0,0
Neonatal cholestasis,Smoflipid 20% Lipid Emulsion for Injection,1,0,0,证据不足,NCT03387579,smoflipid 20% lipid emulsion for injection,0,0
Neonatal cholestasis,Sulperazon,1,0,0,证据不足,NCT04370145,sulperazon,0,0
Neonatal cholestasis,TAK-625,1,0,0,证据不足,NCT05543174,tak-625,0,0
Neonatal cholestasis,Teicoplanin,1,0,0,证据不足,NCT04370145,teicoplanin,0,0
Neonatal cholestasis,Ursodiol,1,0,0,证据不足,NCT00846963,ursodiol,0,0
Neonatal cholestasis,ursodiol,1,0,0,证据不足,NCT00004315,ursodiol,0,0
Neurotransmitter disorders,"(2R,6R)-hydroxynorketamine (0.25 to 2.0 mg/kg)",1,0,0,证据不足,NCT06511908,(2r + 6r)-hydroxynorketamine (0.25 to + kg),0,0
Neurotransmitter disorders,[68Ga]RM2,1,0,0,证据不足,NCT02483884,[68ga]rm2,0,0
Neurotransmitter disorders,Active Aprepitant,1,0,0,证据不足,NCT01204723,active aprepitant,0,0
Neurotransmitter disorders,APH-1501,1,0,0,证据不足,NCT03813095,aph-1501,0,0
Neurotransmitter disorders,Aripiprazole,1,0,0,证据不足,NCT01710163,aripiprazole,0,0
Neurotransmitter disorders,BNC,1,0,0,证据不足,NCT01747213,bnc,0,0
Neurotransmitter disorders,Clonidine,1,0,0,证据不足,NCT03396588,clonidine,0,0
Neurotransmitter disorders,Comparator,1,0,0,证据不足,NCT02227368,comparator,0,0
Neurotransmitter disorders,CX516 (Ampalex),1,0,0,证据不足,NCT00001662,cx516,0,0
Neurotransmitter disorders,Desloratadine,1,1,1,可能适应症且需注意安全,NCT01916967,desloratadine,1,0
Neurotransmitter disorders,Desloratadine 5 mg,1,0,0,证据不足,NCT01918033,desloratadine,1,0
Neurotransmitter disorders,Detemir,1,0,0,证据不足,NCT01239550,detemir,0,0
Neurotransmitter disorders,Dextroamphetamine,1,0,0,证据不足,NCT02634684,dextroamphetamine,0,0
Neurotransmitter disorders,Diltiazem,1,0,0,证据不足,NCT02695992,diltiazem,0,0
Neurotransmitter disorders,Doxazosin,1,0,0,证据不足,NCT01953432,doxazosin,0,0
Neurotransmitter disorders,Duloxetine,1,0,0,证据不足,NCT04178993,duloxetine,0,0
Neurotransmitter disorders,Escitalopram,2,1,0,适应症线索,NCT01728194|NCT05389046,escitalopram,1,0
Neurotransmitter disorders,Escitalopram+Aripiprazole,1,0,0,证据不足,NCT05389046,aripiprazole + escitalopram,0,0
Neurotransmitter disorders,Escitalopram+Aripiprazole+omega-3 PUFAs,1,0,0,证据不足,NCT05389046,aripiprazole + escitalopram + omega-3 pufas,0,0
Neurotransmitter disorders,Escitalopram+omega-3 PUFAs,1,0,0,证据不足,NCT05389046,escitalopram + omega-3 pufas,0,0
Neurotransmitter disorders,Guanfacine Extended Release,1,0,0,证据不足,NCT05657860,guanfacine extended release,0,0
Neurotransmitter disorders,Icatibant (30 mg),1,0,0,证据不足,NCT02045264,icatibant (),0,0
Neurotransmitter disorders,Intravenous Ketamine,1,0,0,证据不足,NCT05991232,intravenous ketamine,0,0
Neurotransmitter disorders,INVEGA SUSTENNA,1,0,0,证据不足,NCT04922593,invega sustenna,0,0
Neurotransmitter disorders,Ketamine,2,0,0,证据不足,NCT02577250|NCT04032301,ketamine,0,0
Neurotransmitter disorders,Ketorolac 10 Mg Oral Tablet,1,0,0,证据不足,NCT06150898,ketorolac oral tablet,0,0
Neurotransmitter disorders,KuvanTM Therapy,1,1,0,适应症线索,NCT00688844,kuvantm therapy,1,0
Neurotransmitter disorders,Latanoprost 0.005% Ophthalmic Solution,1,0,0,证据不足,NCT04412096,latanoprost 0.005% ophthalmic solution,0,0
Neurotransmitter disorders,lidocaine infusion,1,0,0,证据不足,NCT04622904,lidocaine infusion,0,0
Neurotransmitter disorders,lidocaine-ketamine infusion,1,0,0,证据不足,NCT04622904,lidocaine-ketamine infusion,0,0
Neurotransmitter disorders,lidocaine-magnesium infusion,1,0,0,证据不足,NCT04622904,lidocaine-magnesium infusion,0,0
Neurotransmitter disorders,Lithium,1,0,0,证据不足,NCT01710163,lithium,0,0
Neurotransmitter disorders,LY03005,3,0,0,证据不足,NCT03357796|NCT03733574|NCT03822065,ly03005,0,0
Neurotransmitter disorders,"LY03010 156 mg treatment group, deltoid",1,0,0,证据不足,NCT05321602,deltoid + ly03010 treatment group,0,0
Neurotransmitter disorders,"LY03010 156 mg treatment group, gluteal",1,0,0,证据不足,NCT05321602,gluteal + ly03010 treatment group,0,0
Neurotransmitter disorders,"LY03010 351 mg treatment group, deltoid",1,0,0,证据不足,NCT05321602,deltoid + ly03010 treatment group,0,0
Neurotransmitter disorders,"LY03010 351 mg treatment group, gluteal",1,0,0,证据不足,NCT05321602,gluteal + ly03010 treatment group,0,0
Neurotransmitter disorders,LY03010; paliperidone palmitate,1,0,0,证据不足,NCT04922593,ly03010; paliperidone palmitate,0,0
Neurotransmitter disorders,MDMA,1,0,0,证据不足,NCT05138068,mdma,0,0
